PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Pablo  Aso,CAZ,1.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-8.0,-2.0
Maik Kotsar,BKN,21.0,413.12,13.0,205.0,0.0,1.0,0.0,73.0,119.0,61.3,59.0,83.0,71.1,70.0,41.0,111.0,25.0,14.0,18.0,8.0,8.0,7.0,42.0,75.0,148.0,299.0
Matt Costello,BKN,21.0,421.04,3.0,211.0,21.0,58.0,36.2,55.0,78.0,70.5,38.0,54.0,70.4,76.0,30.0,106.0,38.0,16.0,21.0,26.0,4.0,17.0,48.0,50.0,160.0,298.0
Darius Thompson,BKN,21.0,456.25,13.0,205.0,17.0,45.0,37.8,60.0,120.0,50.0,34.0,44.0,77.3,42.0,18.0,60.0,129.0,24.0,39.0,8.0,7.0,6.0,40.0,53.0,151.0,295.0
Rokas Giedraitis,BKN,21.0,453.07,8.0,215.0,30.0,70.0,42.9,49.0,69.0,71.0,27.0,34.0,79.4,53.0,14.0,67.0,24.0,19.0,21.0,0.0,3.0,6.0,34.0,37.0,107.0,237.0
Tadas Sedekerskis,BKN,17.0,379.0,9.0,118.0,10.0,29.0,34.5,34.0,50.0,68.0,20.0,25.0,80.0,79.0,20.0,99.0,30.0,14.0,10.0,0.0,7.0,7.0,17.0,26.0,110.0,213.0
Markus Howard,BKN,19.0,355.27,10.0,284.0,56.0,130.0,43.1,37.0,74.0,50.0,42.0,54.0,77.8,15.0,9.0,24.0,28.0,15.0,39.0,0.0,7.0,0.0,46.0,49.0,116.0,185.0
Daulton Hommes,BKN,16.0,290.3,9.0,174.0,38.0,71.0,53.5,20.0,34.0,58.8,20.0,20.0,100.0,40.0,7.0,47.0,16.0,9.0,18.0,3.0,4.0,1.0,33.0,23.0,129.0,170.0
Steven Enoch,BKN,16.0,305.01,11.0,127.0,2.0,4.0,50.0,53.0,91.0,58.2,15.0,25.0,60.0,63.0,25.0,88.0,9.0,2.0,23.0,10.0,5.0,19.0,46.0,28.0,-37.0,140.0
Dani Díez,BKN,19.0,275.43,8.0,93.0,22.0,50.0,44.0,11.0,18.0,61.1,5.0,6.0,83.3,37.0,17.0,54.0,15.0,8.0,6.0,2.0,1.0,0.0,11.0,11.0,-6.0,129.0
Pierria Henry,BKN,10.0,236.11,3.0,76.0,6.0,17.0,35.3,19.0,52.0,36.5,20.0,30.0,66.7,21.0,7.0,28.0,65.0,15.0,26.0,1.0,6.0,0.0,21.0,33.0,74.0,111.0
Vanja Marinkovic,BKN,19.0,369.59,9.0,164.0,34.0,89.0,38.2,21.0,57.0,36.8,20.0,30.0,66.7,24.0,5.0,29.0,24.0,19.0,19.0,1.0,4.0,1.0,39.0,35.0,-7.0,109.0
Arturs Kurucs,BKN,21.0,355.28,9.0,100.0,25.0,58.0,43.1,11.0,26.0,42.3,3.0,4.0,75.0,14.0,5.0,19.0,34.0,11.0,21.0,3.0,1.0,2.0,45.0,10.0,92.0,61.0
Max Heidegger,BKN,5.0,115.22,4.0,61.0,9.0,23.0,39.1,8.0,18.0,44.4,18.0,22.0,81.8,9.0,1.0,10.0,22.0,2.0,11.0,0.0,3.0,0.0,11.0,16.0,-8.0,58.0
Sander Raieste,BKN,19.0,221.08,6.0,57.0,10.0,25.0,40.0,10.0,20.0,50.0,7.0,11.0,63.6,17.0,5.0,22.0,5.0,9.0,6.0,0.0,2.0,5.0,36.0,12.0,-5.0,32.0
Ousmane Ndiaye,BKN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
